wing,source,url,section,page_type_observed,title,description,h1,h2_sample
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/testimonials/provest-realty,testimonials,proof-case-study,Provest Realty Case Study | Frontdesk,"A property management firm cut daylong phone interruptions, improved intent-based routing, and gave tenants and prospects structured answers outside business h…","How Provest Realty Handles 1,600 Calls a Month with AI","Organization profile | Challenge, deployment, and outcomes | Get your AI Workforce for free, today. | Get started | Thought leadership | Industry solutions | Free AI Tools | Notable press"
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/testimonials/trade-recalls,testimonials,proof-case-study,Trade Recalls Case Study | Frontdesk,Personalized AI voice outreach plus SMS follow-up turned recall campaigns into a measured booking and revenue channel for dealership service lanes.,How Trade Recalls Generated $33K in 5 Days,"Organization profile | Challenge, deployment, and outcomes | Get your AI Workforce for free, today. | Get started | Thought leadership | Industry solutions | Free AI Tools | Notable press"
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/testimonials/st-george-associates,testimonials,proof-case-study,St. George Associates Case Study | Frontdesk,A 600+ tenant student housing operator next to UCSB and Santa Barbara City College replaced redundant front-desk calls with an always-on AI receptionist. Freei…,How St. George Associates Meets the Demand of UCSB & SBCC Students,"Organization profile | Challenge, deployment, and outcomes | Get your AI Workforce for free, today. | Get started | Thought leadership | Industry solutions | Free AI Tools | Notable press"
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/testimonials/freak-bros-pizza,testimonials,proof-case-study,Freak Brothers Pizza Case Study: 0% to 100% Calls Answered…,"A Phoenix pizza shop that used to send every call to voicemail now answers every order live with Frontdesk AI. Result: $11K+ weekly revenue recovered, 47% orde…",How Freak Brothers Pizza Went From Answering 0% of Calls to 100% and Lifted Order Volume 47%,"Organization profile | Challenge, deployment, and outcomes | Get your AI Workforce for free, today. | Get started | Thought leadership | Industry solutions | Free AI Tools | Notable press"
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/customer-stories,customer-stories,proof-case-study,Customer stories | Frontdesk,"Case studies from brokerages, builders, clinics, manufacturers, and operators: measurable gains in call coverage, routing, referrals, and revenue, with Frontde…",Customer stories with numbers behind them,Browse case studies | Samson Properties | Elegant Comfort | Garman Homes | United Porté | Clear Speech & Language | Artisan Homes | Provest Realty
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/platform/ai-phone-receptionist,platform,feature,AI Phone Receptionist: Automated Call Answering & Routing,"Frontdesk's AI phone receptionist answers inbound calls in under a second, routes by intent, books appointments live, and records every call. Keep your existin…",AI Phone Receptionist. Automated call answering and routing for every inbound caller.,"Phone-grade call handling, built on AI. | Three steps from ring to result. | Why teams replace voicemail first. | Launch without changing your number. | Thousands of Businesses Grow with Frontdesk | The AI Receptionist that Broke the Internet | Works with the phone system you already have. | Need more than phone?"
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/platform/ai-web-chatbot,platform,feature,AI Web Chatbot for Your Site. Frontdesk,"Embed Frontdesk's site chatbot to answer product questions, qualify visitors, capture leads, and book meetings using your live knowledge, no human agent requir…",AI Web Chatbot. Qualify visitors and book appointments in real time.,"Static forms are killing your leads. | An always-on team built into your website. | Three steps from URL to live chatbot. | Forms vs live chat vs AI chatbot. | Customer-oriented businesses, covered. | Thousands of Businesses Grow with Frontdesk | The AI Receptionist that Broke the Internet | Your AI chatbot awaits."
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/platform/sms-texting-agent,platform,feature,AI SMS Agent. Two-Way Text Automation,"Frontdesk AI SMS Agent handles two-way conversations, books appointments, answers questions, and follows up automatically. Works across SMS, Instagram, Faceboo…","AI SMS Agent. Two-way text automation that books, answers, and converts.","The channel customers actually read. | An always-on SMS agent that handles every reply. | Three steps from setup to first text. | Thousands of Businesses Grow with Frontdesk | The AI Receptionist that Broke the Internet | Every text, answered. | Get started | Thought leadership"
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/platform/ai-crm,platform,feature,AI CRM. The CRM that updates itself,"Frontdesk AI CRM stays current automatically, every call, text, chat, and email updates the record while the conversation is still happening.","AI CRM. Centralize every lead, updated automatically.",Every Lead. Every Interaction. One Place. | It's not you. CRMs just go stale. | Three things happen at the same time. | The first CRM built for LLMs. | Built for customer-oriented businesses like yours. | Thousands of Businesses Grow with Frontdesk | The AI Receptionist that Broke the Internet | COMMON QUESTIONS
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/platform/dashboards-reporting,platform,feature,Dashboards & Revenue Reporting. Frontdesk,"Measure what conversations drive: Frontdesk dashboards tie calls, texts, and chats to bookings, pipeline, and saved revenue with channel-level attribution lead…","AI Dashboards. Real-time reporting on leads, calls, and revenue.",Start knowing. | Analytics that drive action. | See the numbers that matter. | The metrics your team needs to run a tighter operation. | Thousands of Businesses Grow with Frontdesk | The AI Receptionist that Broke the Internet | COMMON QUESTIONS | Prove it works. In dollars.
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/platform/website-forms,platform,feature,Smart Website Forms. Frontdesk,"Replace dead-end forms with Frontdesk smart fields that branch by answers, sync to CRM instantly, and trigger AI SMS or call follow-up while intent is still ho…",AI Website Forms. Turn form submissions into CRM leads automatically.,"Standard contact forms are black holes. | It's a system that brings leads into your ecosystem. | Three steps from drag-and-drop to live leads. | Forms that create leads, beyond records. | Basic forms vs Frontdesk smart forms. | Thousands of Businesses Grow with Frontdesk | The AI Receptionist that Broke the Internet | COMMON QUESTIONS"
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/platform/ai-calendar,platform,feature,AI Calendar. Appointments that book themselves,"Frontdesk AI Calendar books appointments live during the conversation. Checking your real availability across Google and Outlook, confirming on the call, and f…","AI Scheduling. Book appointments 24/7 from phone, chat, and web.","From conversation to booked appointment, automatically. | Every scheduling feature you need, in one calendar. | Calendly plus an AI that actually books for you. | Built for customer-oriented businesses like yours. | Thousands of Businesses Grow with Frontdesk | The AI Receptionist that Broke the Internet | COMMON QUESTIONS | Stop sending scheduling links. Book it on the call."
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/platform/automated-outbound-calls,platform,feature,AI Outbound Calling. Frontdesk,"Launch CRM-triggered outbound calls with smart variables, live context, and booking flows, Frontdesk helps teams reach more people with personalized AI voice o…",AI Outbound Calling. Reach more people with personalized voice outreach.,From CRM trigger to connected conversation. | Outbound calls with full context. | Everything you need to run outbound at scale. | Thousands of Businesses Grow with Frontdesk | The AI Receptionist that Broke the Internet | Stop blast-dialing. Start converting. | Get started | Thought leadership
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/platform/smart-tickets,platform,feature,Smart Tickets. Tickets that write themselves,"Frontdesk Smart Tickets writes support tickets from the conversation itself. Detecting the issue, scoring urgency, reading sentiment, and routing to the right…",AI Ticketing. Auto-create and route tickets from every channel.,Nobody wants to “submit a ticket.” | From complaint to routed ticket. Hands-free. | Everything you need to track and resolve customer issues fast. | The ticket is a byproduct of the call. | Built for customer-oriented businesses like yours. | Thousands of Businesses Grow with Frontdesk | The AI Receptionist that Broke the Internet | COMMON QUESTIONS
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/platform/smart-notifications,platform,feature,Smart Notifications. Frontdesk Alerts,"Smart notifications and alerts powered by AI. Get notified about what matters: hot leads, escalations, missed calls, and ticket priorities, in plain English.",Smart Notifications. Only the alerts that actually matter.,"Write the alerts you want, in your own words. | Notifications powered by live AI. | Context-rich pings, where you actually are. | Every alert type you need, on every channel. | Thousands of Businesses Grow with Frontdesk | The AI Receptionist that Broke the Internet | Less noise. More signal. | Get started"
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/platform/automated-outbound-sms,platform,feature,Automated Outbound SMS. Frontdesk,"Launch personalized SMS sequences triggered by CRM events. Frontdesk's AI fires the right message at the right time, handles replies, and books straight from t…",Automated Outbound SMS. Personalized SMS campaigns on autopilot.,"From trigger to personalized reply. | SMS that feels one-to-one. | Every feature you need to run SMS at scale. | Thousands of Businesses Grow with Frontdesk | The AI Receptionist that Broke the Internet | Personalized SMS, at any scale. | Get started | Thought leadership"
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/white-label,white-label,partner-channel,White-Label AI Receptionist. Frontdesk Partner,"Resell Frontdesk AI phone, chat, and SMS under your brand: custom domain, your pricing, Stripe rebilling, and a full automation stack without building voice in…",Resell AI receptionists under your brand.,"Your brand, on day one. | Two completely separate experiences: yours and theirs | You sell and service. We handle the tech. | Seamless Stripe Integration for Rebilling. Full Control, Full Transparency | Your Brand, Front and Center | Cutting-Edge AI Fully White Labeled | We'll Build It. You Sell It. | We're Spending Millions So You Don't Have To"
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/crm-reimagined-for-the-ai-age,crm-reimagined-for-the-ai-age,comparison,AI-Native CRM. Frontdesk vs Legacy Stacks,"Compare legacy CRM busywork with Frontdesk AI CRM: structured capture from every call and message, contextual follow-up, and revenue signals without manual ent…",CRM Reimagined for the AI Age,"How they stack up | 6 things your CRM vendor won't tell you | Same customer. Different experience. | Operators are already making the switch | Your CRM should work as hard as you do. | Get your AI Workforce for free, today. | Get started | Thought leadership"
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/features,features,feature-overview,AI Front Desk Features | Advanced Virtual AI Receptionist,"AI Front Desk features 24/7 AI call answering, voice and language control, SMS workflows, integrations, analytics, and scalable multilingual reception.",Everything your AI receptionist can do,AI Receptionist for Wellness Centers | AI Receptionist for Veterinary Clinics | AI Receptionist for Veterinary Clinics | AI Receptionist for Tutoring Centers | AI Receptionist for Travel Agencies | AI Receptionist for Therapy Offices | AI Receptionist for Staffing Agencies | AI Receptionist for Spas
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/blog-home,blog-home,resource-library,"Frontdesk Blog, AI Receptionist Playbooks","Read Frontdesk articles on AI call answering, lead capture, appointment reminders, industry workflows, and how teams centralize phone, SMS, and chat.",Insights & guides,Browse by category | Zero Development Costs: Complete AI Solutions Ready For Your Agency Brand | 5 Zapier Workflows to Boost Lead Conversion | Zapier Workflow Examples for Lead Management | Zapier VoIP Integration: Setup Guide | Zapier for Lead Management: Ultimate Guide | How Zapier Simplifies AI Receptionist Integration | Zapier for AI Receptionist Analytics Integration
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/blogs/archive,blogs,resource-library,Article Archive. Every Frontdesk page in one place,"A complete HTML sitemap of every Frontdesk page and article, organized by section. Use this index to jump directly to any product page, industry guide, or blog…",Every Frontdesk page,Core Pages ( 21 ) | Platform ( 16 ) | Industries ( 7 ) | AI Receptionist by Industry ( 24 ) | SEO Product Pages ( 4502 ) | Solutions ( 8 ) | Multifamily ( 748 ) | Multifamily Reports ( 11 )
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/get-the-2026-centralization-report,get-the-2026-centralization-report,other,2026 Centralization Report. Frontdesk,"Download Frontdesk’s 2026 report on how mid-market operators consolidate locations, teams, and customer-ops software into one model, and what it saves.",,"Get your AI Workforce for free, today. | Get started | Thought leadership | Industry solutions | Free AI Tools | Notable press | AI for Multifamily | AI for Retail & Ecommerce"
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/multifamily,multifamily,vertical-solution,"AI for Multifamily. Leasing, Maintenance, Renewals, Collect…","Frontdesk is the AI front office for multifamily. 24/7 leasing, maintenance, renewals, and collections. Integrated with Yardi, RealPage, Entrata, AppFolio, Bui…",The AI front office that runs your entire multifamily portfolio,"Property management teams already running on Frontdesk | AI for every part of the multifamily operation | Multifamily AI research & buyer guides | Every multifamily workflow, integration, and channel | Get your AI Workforce for free, today. | Get started | Thought leadership | Industry solutions"
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/retail,retail,vertical-solution,"AI for Retail & Ecommerce. Inbound, Outbound, Orders, Retur…","AI front office for retail. 24/7 inbound + outbound across voice, SMS, chat, DM, marketplace. For Shopify, WooCommerce, BigCommerce, Magento, Square, Clover, L…",The AI front office that runs your entire retail and ecommerce business,"Retail brands already running on Frontdesk | Retail AI research & buyer guides | AI for every part of retail | Every retail workflow, integration, and channel | Get your AI Workforce for free, today. | Get started | Thought leadership | Industry solutions"
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/therapy,therapy,vertical-solution,"AI for Therapy Practices. Speech, ABA, Mental Health, OT, P…","HIPAA-compliant AI front office for therapy practices. 24/7 intake, scheduling, waitlist fill, insurance verification. For SimplePractice, TherapyNotes, Jane A…",The HIPAA-compliant AI front office for therapy practices,"Therapy practices already running on Frontdesk | Therapy AI research & buyer guides | AI for every part of a therapy practice | Every therapy workflow, integration, and channel | Get your AI Workforce for free, today. | Get started | Thought leadership | Industry solutions"
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/industries-we-serve/residential-property-management,industries-we-serve,vertical-solution,Residential PM AI Receptionist. Frontdesk,"Lease and support residents faster: Frontdesk handles after-hours leasing calls, tours, maintenance intake, and no-show follow-ups with unified CRM timelines f…",Fill vacant apartments while your team sleeps,"Leasing opportunities are lost in the gaps | One AI workforce for leasing and resident operations | From first call to lease renewal | Common questions from property teams | Stop missing renters at 2 AM | Get your AI Workforce for free, today. | Get started | Thought leadership"
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/industries-we-serve/real-estate,industries-we-serve,vertical-solution,Real Estate AI Receptionist. Frontdesk,"Win speed-to-lead: Frontdesk answers brokerage calls 24/7, qualifies buyers and sellers, books showings into your calendar, and runs no-show recovery with CRM…",Never miss a real estate lead again,"Commissions are lost in the gaps | One AI workforce for your entire brokerage | From first call to closed deal | Common questions from brokerages | Stop losing commissions at 2 AM | Get your AI Workforce for free, today. | Get started | Thought leadership"
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/industries-we-serve/accounting-firms,industries-we-serve,vertical-solution,Accounting Firm AI Receptionist. Frontdesk,"Survive tax season inbound: Frontdesk answers after-hours client calls, books consults, captures intake details, and launches no-show recovery, synced to your…",Never miss a client. Even at 2 AM during tax season,"Firms lose clients in the gaps | One AI workforce for your entire firm | From midnight call to signed engagement | Common questions from accounting firms | Stop losing clients to missed calls | Get your AI Workforce for free, today. | Get started | Thought leadership"
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/industries-we-serve/legal,industries-we-serve,vertical-solution,Law Firm AI Receptionist & Intake. Frontdesk,"Capture urgent intakes after hours: Frontdesk answers legal calls 24/7, classifies matter type, books consults, and runs no-show recovery with a unified client…",Capture every legal client while your team sleeps,"Firms lose cases before they start | One AI workforce for your entire practice | From 2 AM call to signed retainer | Common questions from law firms | Stop losing cases to missed calls | Get your AI Workforce for free, today. | Get started | Thought leadership"
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/industries-we-serve/automotive,industries-we-serve,vertical-solution,Automotive AI Receptionist. Frontdesk,"Capture after-hours repair calls, book service appointments, and recover no-shows with Frontdesk AI phone, SMS, and shop-ready CRM workflows for dealers and ga…",Fill your service bays while you sleep,"Automotive shops lose customers daily | One AI workforce for your entire shop | Speed and recovery win the service lane | From a 7 PM breakdown call to a loyal customer | Common questions from shops and dealerships | Stop missing service appointments at 2 AM | Get your AI Workforce for free, today. | Get started"
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/platform/ai-web-voicebot,platform,feature,AI Web Voicebot. Talk-To-Your-Site,"Frontdesk AI Web Voicebot deploys a click-to-talk voice AI agent on your website. Visitors get answers, qualifications, and bookings, all hands-free, in their…","AI Web Voicebot. Talk-to-your-site, in any browser.","Multiple channels, one AI platform. | A voice AI agent that talks to your website visitors. | Built for customer-oriented businesses. | Thousands of Businesses Grow with Frontdesk | The AI Receptionist that Broke the Internet | COMMON QUESTIONS | Unmute your website. | Get started"
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/platform/pbx-call-capture,platform,feature,PBX Call Capture. Turn Human Calls into CRM Data | Frontdesk,"Frontdesk PBX Call Capture pulls call recordings from 3CX, RingCentral, Dialpad, and other PBX systems, transcribes them, and turns every call into structured…",PBX Call Capture. Turn every human call into CRM data.,"Four steps from hung-up call to clean CRM record. | Capture every call without changing your stack. | Keep your PBX. We integrate with it. | Where PBX capture pays for itself. | Every feature you need to capture, transcribe, and route every call. | Thousands of Businesses Grow with Frontdesk | The AI Receptionist that Broke the Internet | Every call, logged."
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/platform/in-person-meeting-capture,platform,feature,In-Person Meeting Capture. Turn Face-to-Face Conversations…,"Frontdesk In-Person Meeting Capture records, transcribes, and turns face-to-face conversations into structured CRM data automatically. Mobile app, no extra har…",In-Person Meeting Capture. Turn face-to-face conversations into CRM data.,"Four steps from conversation to filled CRM record. | Capture conversations without thinking about it. | Where face-to-face conversations live. | Everything you need to turn meetings into data. | Thousands of Businesses Grow with Frontdesk | The AI Receptionist that Broke the Internet | Common questions. | Every meeting, logged."
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/multifamily/ai-leasing-agent,multifamily,vertical-solution,AI Leasing Agent for Multifamily. 24/7 Lead Capture | Frontdesk,"AI leasing agent for multifamily that answers calls, chats, and ILS leads 24/7. Integrates with Yardi, RealPage, Entrata, AppFolio, Buildium, ResMan.","The AI leasing agent that fills units 24/7, across every community","Multifamily leasing teams lose units every week to slow response | One AI platform for leasing, residents, maintenance, renewals & collections | Works with every major property management system | Property management teams already running on Frontdesk | Built for every kind of multifamily operator | From first call to signed lease. Fully automated | AI for every part of multifamily | Other leasing & lead capture pages"
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/multifamily/ai-tour-no-show-recovery,multifamily,vertical-solution,AI Tour No-Show Recovery for Multifamily | Frontdesk,"Recover 30–50% of missed apartment tours with AI voice, SMS, and email follow-up. Works with Yardi, RealPage, Entrata, AppFolio, Buildium, ResMan.",Recover 30–50% of missed apartment tours automatically,"Tour no-shows quietly cost multifamily operators millions | One AI platform for leasing, residents, maintenance, renewals & collections | Works with every major property management system | Property management teams already running on Frontdesk | Built for every kind of multifamily operator | From first call to signed lease. Fully automated | AI for every part of multifamily | Other tours & conversion pages"
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/multifamily/ai-maintenance-request-intake,multifamily,vertical-solution,"AI Maintenance Intake for Multifamily — Yardi, RealPage, Entrata | Frontdesk","24/7 AI maintenance request intake with emergency triage. Creates work orders in Yardi, RealPage, Entrata, AppFolio, Buildium, ResMan automatically.","AI maintenance intake that triages, routes, and schedules 24/7","Maintenance bottlenecks erode resident retention and NOI | One AI platform for leasing, residents, maintenance, renewals & collections | Works with every major property management system | Property management teams already running on Frontdesk | Built for every kind of multifamily operator | From first call to signed lease. Fully automated | AI for every part of multifamily | Other residents & maintenance pages"
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/multifamily/ai-rent-delinquency-collections,multifamily,vertical-solution,AI Rent Delinquency & Collections for Multifamily | Frontdesk,"AI-powered rent delinquency outreach, payment-plan negotiation, and collections. Syncs with Yardi, RealPage, Entrata, AppFolio, Buildium, ResMan.",Reduce delinquency without adding collections headcount,"Delinquency is the silent margin killer for multifamily | One AI platform for leasing, residents, maintenance, renewals & collections | Works with every major property management system | Property management teams already running on Frontdesk | Built for every kind of multifamily operator | From first call to signed lease. Fully automated | AI for every part of multifamily | Other rent & collections pages"
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/multifamily/ai-lease-renewal-outreach,multifamily,vertical-solution,AI Lease Renewal Outreach for Multifamily | Frontdesk,"AI-powered lease renewal campaigns that lift renewal rate 5–15%. Integrates with Yardi, RealPage, Entrata, AppFolio, Buildium, ResMan.",Lift renewal rate 5–15% with proactive AI outreach,"Renewal slippage costs more than vacancy | One AI platform for leasing, residents, maintenance, renewals & collections | Works with every major property management system | Property management teams already running on Frontdesk | Built for every kind of multifamily operator | From first call to signed lease. Fully automated | AI for every part of multifamily | Other renewals & retention pages"
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/multifamily/yardi-ai-integration,multifamily,vertical-solution,"Yardi AI Integration. AI for Voyager, Breeze & RentCafe | Frontdesk","AI leasing, maintenance, renewals, and collections that integrate natively with Yardi Voyager, Breeze, and RentCafe. Replaces Chat IQ limitations.",The AI front office that works natively with Yardi,"Yardi alone doesn’t answer the phone | One AI platform for leasing, residents, maintenance, renewals & collections | Works with every major property management system | Property management teams already running on Frontdesk | Built for every kind of multifamily operator | From first call to signed lease. Fully automated | AI for every part of multifamily | Other pms integrations pages"
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/multifamily/realpage-ai-integration,multifamily,vertical-solution,"RealPage AI Integration. AI for OneSite, Knock & AIRM | Frontdesk","AI leasing, maintenance, renewals, and collections that integrate natively with RealPage OneSite, Knock CRM, and AI Revenue Management.",AI front office that works natively with RealPage,"RealPage prices the unit. It doesn’t answer the phone. | One AI platform for leasing, residents, maintenance, renewals & collections | Works with every major property management system | Property management teams already running on Frontdesk | Built for every kind of multifamily operator | From first call to signed lease. Fully automated | AI for every part of multifamily | Other pms integrations pages"
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/multifamily/appfolio-ai-integration,multifamily,vertical-solution,AppFolio AI Integration. AI for Property Manager & Realm-X | Frontdesk,"AI leasing, maintenance, renewals, and collections that integrate natively with AppFolio Property Manager and Realm-X copilot.",AI front office that works natively with AppFolio,"AppFolio Realm-X is a copilot. It still needs a front office | One AI platform for leasing, residents, maintenance, renewals & collections | Works with every major property management system | Property management teams already running on Frontdesk | Built for every kind of multifamily operator | From first call to signed lease. Fully automated | AI for every part of multifamily | Other pms integrations pages"
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/multifamily/entrata-ai-integration,multifamily,vertical-solution,Entrata AI Integration. AI for Entrata Core & ELI+ | Frontdesk,"AI leasing, maintenance, renewals, and collections that integrate natively with Entrata Core and Entrata Leasing AI (ELI+).",AI front office that works natively with Entrata,"Entrata Leasing AI (ELI+) is great for chat, and limited everywhere else | One AI platform for leasing, residents, maintenance, renewals & collections | Works with every major property management system | Property management teams already running on Frontdesk | Built for every kind of multifamily operator | From first call to signed lease. Fully automated | AI for every part of multifamily | Other pms integrations pages"
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/multifamily/buildium-ai-integration,multifamily,vertical-solution,Buildium AI Integration. AI for Property Manager & HOA | Frontdesk,"AI leasing, maintenance, renewals, and HOA support that integrate natively with Buildium Property Manager and Buildium HOA.",AI front office that works natively with Buildium,"Buildium runs the back office. It doesn’t answer the phone. | One AI platform for leasing, residents, maintenance, renewals & collections | Works with every major property management system | Property management teams already running on Frontdesk | Built for every kind of multifamily operator | From first call to signed lease. Fully automated | AI for every part of multifamily | Other pms integrations pages"
Iris Platform,My AI Front Desk,https://www.myaifrontdesk.com/multifamily/elise-ai-alternative,multifamily,comparison,EliseAI alternative — Frontdesk LLM-native leasing AI,"Honest comparison of EliseAI vs Frontdesk. EliseAI was built pre-LLM and bolted language models on top. Frontdesk was built in 2023, natively on LLMs. Voice, S…",The LLM-native alternative to EliseAI,"Why operators move from EliseAI to Frontdesk | One AI platform for leasing, residents, maintenance, renewals & collections | Works with every major property management system | Property management teams already running on Frontdesk | Built for every kind of multifamily operator | From first call to signed lease. Fully automated | AI for every part of multifamily | Other competitor alternatives pages"
