wing,recommended_url,page_name,page_family,topic_slug,page_value,launch_phase,score,current_dotfun_page,semrush_rows,semrush_aggregate_volume,semrush_best_position,semrush_keyword_examples,competitor_evidence_count,evidence_types,evidence_urls,decision_rationale,cannibalization_rule,schema_recommendation,internal_linking_notes
Iris Platform,/iris/features/web-forms/,Website Forms,feature,web-forms,standalone-page,launch,65,no,0,0,,,1,feature,https://www.myaifrontdesk.com/platform/website-forms,core product feature from source docs / competitor pattern ; Confirmed by Perl as current Iris feature on 2026-06-07.,,SoftwareApplication + Product,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/,Iris Solutions Overview,solutions-overview,solutions-overview,standalone-page,launch,98,no,0,0,,,4,competitor-verticals | current-site,https://dotfun.co/iris/home-services | https://dotfun.co/iris/legal-services | https://dotfun.co/iris/property-management,required architecture parent ; multiple competitor/source evidence points,,Article/FAQPage as applicable,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/property-management/,Property Management,vertical-solution,property-management,standalone-page,launch,90,yes,0,0,,,2,current-site | source-doc | competitor-pattern,https://dotfun.co/iris/solutions/property-management,"current dotfun Iris page exists ; confirmed Iris vertical ; My AI Front Desk has property-management adjacent evidence ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about Iris software for property management; custom implementation routes to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/home-services/,Home Services,vertical-solution,home-services,standalone-page,launch,85,yes,0,0,,,2,current-site | source-doc | competitor-pattern,https://dotfun.co/iris/solutions/home-services,"current dotfun Iris page exists ; confirmed Iris vertical ; My AI Front Desk validates vertical solution strategy ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about Iris software for home services; custom implementation routes to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/legal-services/,Legal Services,vertical-solution,legal-services,standalone-page,launch,85,yes,0,0,,,2,current-site | source-doc | competitor-pattern,https://dotfun.co/iris/solutions/legal-services,"current dotfun Iris page exists ; confirmed Iris vertical ; My AI Front Desk validates vertical solution strategy ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about Iris software for legal services/law firms; custom implementation routes to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/real-estate/,Real Estate,vertical-solution,real-estate,standalone-page,launch-candidate,58,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/industries-we-serve/real-estate,"strong adjacent vertical from My AI Front Desk patterns ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/residential-property-management/,Residential Property Management,vertical-solution,residential-property-management,standalone-page,launch-candidate,58,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/industries-we-serve/residential-property-management,"strong adjacent vertical from My AI Front Desk patterns ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/features/ai-answering-for-small-businesses/,Features/Ai Answering For Small Businesses,feature,ai-answering-for-small-businesses,section-on-parent,phase-two,35,no,0,0,,,1,feature-overview,https://llms.myaifrontdesk.com/features/ai-answering-for-small-businesses,feature candidate requires product confirmation,,SoftwareApplication + Product,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/features/ai-web-voicebot/,Ai Web Voicebot,feature,ai-web-voicebot,section-on-parent,phase-two,35,no,0,0,,,1,feature,https://www.myaifrontdesk.com/platform/ai-web-voicebot,feature candidate requires product confirmation,,SoftwareApplication + Product,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/features/in-person-meeting-capture/,In Person Meeting Capture,feature,in-person-meeting-capture,section-on-parent,phase-two,35,no,0,0,,,1,feature,https://www.myaifrontdesk.com/platform/in-person-meeting-capture,feature candidate requires product confirmation,,SoftwareApplication + Product,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/features/notifications/,Smart Notifications,feature,notifications,section-on-parent,phase-two,35,no,0,0,,,1,feature,https://www.myaifrontdesk.com/platform/smart-notifications,feature candidate requires product confirmation,,SoftwareApplication + Product,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/features/pbx-call-capture/,Pbx Call Capture,feature,pbx-call-capture,section-on-parent,phase-two,35,no,0,0,,,1,feature,https://www.myaifrontdesk.com/platform/pbx-call-capture,feature candidate requires product confirmation,,SoftwareApplication + Product,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/features/smart-tickets/,Smart Tickets,feature,smart-tickets,section-on-parent,phase-two,35,no,0,0,,,1,feature,https://www.myaifrontdesk.com/platform/smart-tickets,feature candidate requires product confirmation,,SoftwareApplication + Product,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/prompt-library/,Prompt Library,vertical-solution,prompt-library,phase-two,phase-two,46,no,0,0,,,3,vertical-solution,https://www.myaifrontdesk.com/multifamily/tools/prompt-library,"competitor vertical evidence but dotfun proof/fit needed ; multiple competitor/source evidence points ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/reports/,Reports,vertical-solution,reports,phase-two,phase-two,46,no,0,0,,,3,vertical-solution,https://www.myaifrontdesk.com/multifamily/reports,"competitor vertical evidence but dotfun proof/fit needed ; multiple competitor/source evidence points ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/roi-calculator/,Roi Calculator,vertical-solution,roi-calculator,phase-two,phase-two,46,no,0,0,,,3,vertical-solution,https://www.myaifrontdesk.com/multifamily/tools/roi-calculator,"competitor vertical evidence but dotfun proof/fit needed ; multiple competitor/source evidence points ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/tools/,Tools,vertical-solution,tools,phase-two,phase-two,46,no,0,0,,,3,vertical-solution,https://www.myaifrontdesk.com/multifamily/tools,"competitor vertical evidence but dotfun proof/fit needed ; multiple competitor/source evidence points ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/accounting-firms/,Accounting Firms,vertical-solution,accounting-firms,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/industries-we-serve/accounting-firms,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/ai-abandoned-cart-recovery/,Ai Abandoned Cart Recovery,vertical-solution,ai-abandoned-cart-recovery,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/retail/ai-abandoned-cart-recovery,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/ai-amazon-seller-support/,Ai Amazon Seller Support,vertical-solution,ai-amazon-seller-support,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/retail/ai-amazon-seller-support,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/ai-for-property-managers/,Ai For Property Managers,vertical-solution,ai-for-property-managers,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/multifamily/ai-for-property-managers,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/ai-insurance-eligibility-verification/,Ai Insurance Eligibility Verification,vertical-solution,ai-insurance-eligibility-verification,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/therapy/ai-insurance-eligibility-verification,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/ai-lease-renewal-outreach/,Ai Lease Renewal Outreach,vertical-solution,ai-lease-renewal-outreach,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/multifamily/ai-lease-renewal-outreach,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/ai-leasing-agent/,Ai Leasing Agent,vertical-solution,ai-leasing-agent,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/multifamily/ai-leasing-agent,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/ai-maintenance-request-intake/,Ai Maintenance Request Intake,vertical-solution,ai-maintenance-request-intake,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/multifamily/ai-maintenance-request-intake,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/ai-order-status-lookup/,Ai Order Status Lookup,vertical-solution,ai-order-status-lookup,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/retail/ai-order-status-lookup,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/ai-phone-receptionist-real-estate-2025/,Ai Phone Receptionist Real Estate 2025,vertical-solution,ai-phone-receptionist-real-estate-2025,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://llms.myaifrontdesk.com/ai-phone-receptionist-real-estate-2025,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/ai-phone-receptionist-real-estate/,Ai Phone Receptionist Real Estate,vertical-solution,ai-phone-receptionist-real-estate,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://llms.myaifrontdesk.com/ai-phone-receptionist-real-estate,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/ai-receptionist-aba-therapy/,Ai Receptionist Aba Therapy,vertical-solution,ai-receptionist-aba-therapy,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/therapy/ai-receptionist-aba-therapy,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/ai-receptionist-med-spas-consult-booking-overflow/,Ai Receptionist Med Spas Consult Booking Overflow,vertical-solution,ai-receptionist-med-spas-consult-booking-overflow,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://llms.myaifrontdesk.com/ai-receptionist-med-spas-consult-booking-overflow,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/ai-receptionist-mental-health/,Ai Receptionist Mental Health,vertical-solution,ai-receptionist-mental-health,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/therapy/ai-receptionist-mental-health,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/ai-receptionist-plumbing-hvac-emergency-triage/,Ai Receptionist Plumbing Hvac Emergency Triage,vertical-solution,ai-receptionist-plumbing-hvac-emergency-triage,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://llms.myaifrontdesk.com/ai-receptionist-plumbing-hvac-emergency-triage,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/ai-receptionist-speech-therapy/,Ai Receptionist Speech Therapy,vertical-solution,ai-receptionist-speech-therapy,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/therapy/ai-receptionist-speech-therapy,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/ai-rent-delinquency-collections/,Ai Rent Delinquency Collections,vertical-solution,ai-rent-delinquency-collections,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/multifamily/ai-rent-delinquency-collections,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/ai-returns-management/,Ai Returns Management,vertical-solution,ai-returns-management,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/retail/ai-returns-management,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/ai-store-receptionist/,Ai Store Receptionist,vertical-solution,ai-store-receptionist,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/retail/ai-store-receptionist,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/ai-therapy-no-show-recovery/,Ai Therapy No Show Recovery,vertical-solution,ai-therapy-no-show-recovery,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/therapy/ai-therapy-no-show-recovery,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/ai-tour-no-show-recovery/,Ai Tour No Show Recovery,vertical-solution,ai-tour-no-show-recovery,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/multifamily/ai-tour-no-show-recovery,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/appfolio-ai-integration/,Appfolio Ai Integration,vertical-solution,appfolio-ai-integration,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/multifamily/appfolio-ai-integration,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/appfolio-leasing-ai/,Appfolio Leasing Ai,vertical-solution,appfolio-leasing-ai,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/multifamily/appfolio-leasing-ai,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
